16;Melhores;Banco Bradesco;www.bradesco.com.br;66722;Financial Services & Insurance - Banking/Credit  Services;privada;0
17;Melhores;Novartis Farma;www.norvatis.com.br;1311;Biotechnology & Pharmaceuticals - Pharmaceuticals;privada;0
18;Melhores;Alcoa Alumínio S/A;www.alcoa.com.br;5876;Manufacturing & Production - Basic metals and fabricated metal products;privada;0
18;TI e Telecom;Opus Software;www.opus-software.com.br;75;Information Technology - Software;privada;0
19;TI e Telecom;EMC Computer Systems do Brasil;brazil.emc.com;424;Information Technology - Hardware;privada;0
19;Melhores;Ourofino Agronegócio;www.ourofino.com.br;1297;Biotechnology & Pharmaceuticals;privada;0
20;Melhores;AstraZeneca;www.astrazeneca.com.br;1028;Biotechnology & Pharmaceuticals - Pharmaceuticals;privada;0
20;TI e Telecom;VoxAge Serviços Interativos;www.voxage.com.br;70;Information Technology;privada;0
21;TI e Telecom;Walar IT Business;www.walar.com.br;230;Information Technology - IT Consulting;privada;0
22;TI e Telecom;IVIA;www.ivia.com.br;286;Information Technology - Software;privada;0
24;TI e Telecom;ClearSale;www.clearsale.com.br;414;Information Technology;privada;0
26;TI e Telecom;Sankhya Gestão de Negócios;www.sankhya.com.br;279;Information Technology - Software;privada;0
27;TI e Telecom;Takenet;www.take.net/pt;115;Information Technology;privada;0
29;TI e Telecom;Metadados;www.metadados.com.br;93;Information Technology - Software;privada;0
33;TI e Telecom;LIGBRASIL;-;169;Telecommunications;privada;0
34;TI e Telecom;Microcity;www.microcity.com.br;341;Information Technology;privada;0
35;TI e Telecom;TELEFONICA GLOBAL SOLUTION DO BRASIL;www.multinationalsolutions.telefonica.com;50;Telecommunications;privada;0
36;TI e Telecom;Daitan Group;www.daitangroup.com;113;Telecommunications;privada;0
37;TI e Telecom;BExpert;www.bexpert.com.br;80;Information Technology - IT Consulting;privada;0
38;TI e Telecom;Instituto de Pesquisas Eldorado;www.eldorado.org.br;511;Information Technology;não-lucrativa;0
39;TI e Telecom;SYNAPSIS BRASIL;WWW.SYNAPSIS-IT.COM;186;Information Technology;privada;0
40;TI e Telecom;Iteris;www.iteris.com.br;82;Information Technology - IT Consulting;privada;0
41;TI e Telecom;e-Core;www.ecore.com.br;115;Information Technology;privada;0
42;TI e Telecom;BgmRodotec Tecnologia e Informática;www.bgmrodotec.com.br;227;Information Technology - Software;privada;0
43;TI e Telecom;Focco Sistemas de Gestão;www.focco.com.br;182;Information Technology - Software;privada;0
44;TI e Telecom;Conquest One;www.conquestone.com.br;134;Information Technology - IT Consulting;privada;0
45;TI e Telecom;Grupo i9;www.i9tec.com.br;182;Information Technology;privada;0
46;TI e Telecom;Arbit;www.arbit.com.br;72;Information Technology - IT Consulting;privada;0
47;TI e Telecom;Service IT Solutions;www.service.com.br;150;Information Technology - IT Consulting;privada;0
49;TI e Telecom;GVDASA SISTEMAS;WWW.GVDASA.COM.BR;116;Information Technology - Software;privada;0
50;TI e Telecom;MATERA Systems;www.matera.com;263;Information Technology - Software;privada;0
53;TI e Telecom;CINQ TECHNOLOGIES;www.cinq.com.br;206;Information Technology;privada;0
54;TI e Telecom;DATACOPER;www.datacoper.com.br;122;Information Technology - Software;privada;0
55;TI e Telecom;2s Inovações Tecnológicas;www.2s.com.br;106;Information Technology - IT Consulting;privada;0
56;TI e Telecom;LG Sistemas;www.lg.com.br;357;Information Technology - Software;privada;0
57;TI e Telecom;DB1 IT;www.db1.com.br;117;Information Technology - Software;privada;0
58;TI e Telecom;ALOG Data Centers do Brasil;www.alog.com.br;496;Information Technology - Internet Service Provider;privada;0
;Melhores;3corações;www.3coracoes.com.br;4101;Manufacturing & Production - Food products / Tobacco;privada;0
;Melhores;3M do Brasil;www.3m.com.br/recrutamento;4064;Manufacturing & Production - Chemicals;privada;0
;PMs Nacional;ABA;www.estudeaaba.com.br;179;Education & Training;Non-profit;0
;PMs Multinacional;Ace Schmersal;www.schmersal.com.br;269;Manufacturing & Production - Electronics;privada;0
;PMs Nacional;ACRIPEL FARMA;www.acripel.com.br;234;Health Care - Medical sales - distribution;privada;0
;Melhores;Allianz;www.allianz.com.br;1333;Financial Services & Insurance;privada;0
